rank,move,country,age,points,tournaments,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
71,0,SUI,21,844,11,Belinda Bencic,203515,belindabencic,Belinda Bencic,https://scontent-lga3-1.cdninstagram.com/vp/79ed455580dd570ae6da1f3375afdbe2/5B67DAEA/t51.2885-19/s150x150/12142099_1098132983539503_1256200833_a.jpg,true,false,280635571,Belinda Bencic
72,0,CZE,26,825,26,Kristyna Pliskova,71094,kristynapliskova,Kristyna Pliskova,https://scontent-lga3-1.cdninstagram.com/vp/c9729f1a0b90ec8d7d194b8976bc7f5e/5B6A36F3/t51.2885-19/s150x150/12558931_1664937293782896_1665732060_a.jpg,true,false,206504730,Kristyna Pliskova
73,0,CZE,18,822,17,Marketa Vondrousova,10280,marketavondrousova,Markéta Vondroušová,https://scontent-lga3-1.cdninstagram.com/vp/df51aa154c12eb3d57fad572a4f040fb/5B629BA1/t51.2885-19/s150x150/28157990_149253305746073_3423721742508490752_n.jpg,true,false,287197835,Marketa Vondrousova
74,0,USA,31,815,25,Varvara Lepchenko,1751,varyka1,Varvara Lepchenko,https://scontent-lga3-1.cdninstagram.com/vp/8a2254246c42bcea171810b4372a486c/5B6C0375/t51.2885-19/s150x150/19228583_120622231867750_1192254699139497984_a.jpg,true,true,243532199,Varvara Lepchenko
75,0,SLO,27,789,23,Polona Hercog,3001,hercogpolona,Polona Hercog,https://scontent-lga3-1.cdninstagram.com/vp/95b05fad0815e5343c62ea18d7311cde/5B99D482/t51.2885-19/s150x150/26872678_2031648497083080_902578052880400384_n.jpg,true,false,4490784066,Polona Hercog
76,0,USA,22,784,29,Sachia Vickery,11364,sachiavick,Sachia Vickery,https://scontent-lga3-1.cdninstagram.com/vp/979b5ca4f2ff370f9affdd34494fa531/5B664FA8/t51.2885-19/s150x150/25015368_1751336248496335_7899336552684191744_n.jpg,true,false,196557831,Sachia Vickery
77,0,GBR,25,782,25,Heather Watson,90771,heatherwatson92,Heather Watson,https://scontent-lga3-1.cdninstagram.com/vp/908c78dfc36cb17adbeb85f696b70564/5B7A6D88/t51.2885-19/s150x150/23734009_1475944605859165_3995596693805465600_n.jpg,true,false,20084710,Heather Watson
78,0,UKR,31,775,24,Kateryna Bondarenko,209,kateryna_bondarenko,Kateryna Bondarenko,https://scontent-lga3-1.cdninstagram.com/vp/6f124079861977a65fcd641acb0ff92a/5B7702EA/t51.2885-19/s150x150/26394138_328807477526227_5997796441588760576_n.jpg,false,false,6222804881,Kateryna Bondarenko
79,0,ESP,26,772,26,Lara Arruabarrena,11753,laraarrua,Lara Arruabarrena,https://scontent-lga3-1.cdninstagram.com/vp/63b9d47c65b23fefbc98d9f6c6075acb/5B5A4274/t51.2885-19/s150x150/26155567_149777125679195_4084780671799656448_n.jpg,false,false,384654121,Lara Arruabarrena
81,0,SWE,29,765,26,Johanna Larsson,6167,johannalarsson111,Johanna Larsson,https://scontent-lga3-1.cdninstagram.com/vp/35c40f75893f89dc3e01916f2ed82f0d/5B5F5FC5/t51.2885-19/s150x150/21690379_1969509363306953_6090700797564157952_n.jpg,false,false,1057521033,Johanna Larsson
82,0,RUS,21,764,27,Natalia Vikhlyantseva,17808,nataliavikhlyantseva,Natalia Vikhlyantseva,https://scontent-lga3-1.cdninstagram.com/vp/75ae087f509a3a660b6ba701cfeafae6/5B5A911C/t51.2885-19/s150x150/26158469_165358264106294_3559206919652507648_n.jpg,true,false,24432433,Natalia Vikhlyantseva
83,0,KAZ,23,760,26,Yulia Putintseva,36991,yulia_putintseva,Yulia Putintseva,https://scontent-lga3-1.cdninstagram.com/vp/13f282e7ff37c001ee8437694982c577/5B5DD320/t51.2885-19/s150x150/28430175_450628222036519_9196817864676343808_n.jpg,true,false,406709442,Yulia Putintseva
84,0,SVK,23,748,27,Anna Karolina Schmiedlova,444,annaschmiedlova,Anna Karolina Schmiedlova,https://scontent-lga3-1.cdninstagram.com/vp/bfa4c06298e0f17238b53a7217278ba9/5B66C7AD/t51.2885-19/s150x150/11355042_870143913022357_48925117_a.jpg,false,false,1832423969,Anna Karolina Schmiedlova
85,0,USA,23,746,25,Jennifer Brady,2750,jenny_brady7,Jennifer Brady,https://scontent-lga3-1.cdninstagram.com/vp/9c9817357bbda145fa2096ba1044f4ee/5B6DCBA6/t51.2885-19/s150x150/29715490_180042395970191_1306031732885028864_n.jpg,true,false,314828188,Jennifer Brady
86,△12,CHN,23,745,21,Yafan Wang,8,wyafan,Ya-Fan Wang,https://scontent-lga3-1.cdninstagram.com/vp/cfb69da6d770f2e20ed14c0ce505298e/5B782257/t51.2885-19/14026714_617074898473366_1574870900_a.jpg,false,false,3804087705,Yafan Wang
88,0,USA,25,730,31,Christina Mchale,24572,christina_mchale,Christina McHale,https://scontent-lga3-1.cdninstagram.com/vp/c14bee9cd28ef4b61f125c61d2444d59/5B69A389/t51.2885-19/s150x150/14719825_530157257180383_6082453399498915840_a.jpg,true,false,1604638221,Christina Mchale
89,▽2,USA,19,725,28,Sofia Kenin,444,sofia_kenin_fanpage,Sofia Kenin Fanpage,https://scontent-lga3-1.cdninstagram.com/vp/23c8b84f873ffda549d84ba16ed7af44/5B98B1D0/t51.2885-19/s150x150/21224788_338390879938649_2102018000377872384_a.jpg,false,false,5976435033,Sofia Kenin
90,▽1,CRO,20,718,17,Ana Konjuh,33121,anakonjuh,Ana Konjuh,https://scontent-lga3-1.cdninstagram.com/vp/263f4e348bf35d8cc48100b87f3cd7fc/5B993981/t51.2885-19/s150x150/18444559_218570378646212_3441830548694106112_a.jpg,true,false,29286835,Ana Konjuh
91,△17,USA,22,718,24,Taylor Townsend,49226,_ttownsend_,Taylor Townsend 💋,https://scontent-lga3-1.cdninstagram.com/vp/e0788ab5061c1a953ef8bc8374094ede/5B7A9BC7/t51.2885-19/s150x150/28433120_239589396584618_223944847558443008_n.jpg,false,false,28028236,Taylor Townsend
92,▽2,THA,24,718,19,Luksika Kumkhum,3373,luck_luksika,Kumkhum L.,https://scontent-lga3-1.cdninstagram.com/vp/994fe4c3294cd084feffaf768ee3f8d1/5B6B2F30/t51.2885-19/s150x150/26332077_540530342973102_1500919348569571328_n.jpg,false,false,9371543,Luksika Kumkhum
93,▽2,ITA,30,715,21,Sara Errani,61859,saraerrani87,Sara,https://scontent-lga3-1.cdninstagram.com/vp/fc93d60d19b7c27f4d396c54d1a74963/5B6E7CF7/t51.2885-19/s150x150/14711843_342996362731099_2216670331278458880_a.jpg,true,false,266183517,Sara Errani
94,▽1,USA,27,710,27,Alison Riske,5446,riske4rewards,Alison Riske,https://scontent-lga3-1.cdninstagram.com/vp/030bb07d3c0241662ec8c5ea60b5d718/5B77731B/t51.2885-19/11358152_1035408146471480_2129948710_a.jpg,true,false,1289555337,Alison Riske
95,▽1,AUS,24,700,25,Ajla Tomljanovic,1097,ajlatomljanovicfans,Ajla Tomljanovic,https://scontent-lga3-1.cdninstagram.com/vp/fec485035a8a335ec7b2d3eaf8d50352/5B625C6D/t51.2885-19/s150x150/28432729_173253439962799_2766758274987458560_n.jpg,false,false,6232987579,Ajla Tomljanovic
96,▽4,USA,23,697,22,Bernarda Pera,11641,bernardapera,Bernarda Pera,https://scontent-lga3-1.cdninstagram.com/vp/a23d4df70a7dccfe9033f8ed3c675a49/5B783D24/t51.2885-19/s150x150/28433784_151684868792485_900324096993132544_n.jpg,false,false,206715431,Bernarda Pera
97,▽2,BLR,28,695,5,Victoria Azarenka,601004,vichka35,Victoria Azarenka,https://scontent-lga3-1.cdninstagram.com/vp/bb62429e4815422a15b6c2229af4e2df/5B606A9F/t51.2885-19/s150x150/21984646_1645995495464081_2719956454449610752_n.jpg,true,false,27890812,Victoria Azarenka
98,△9,BEL,28,658,25,Yanina Wickmayer,27719,yaninawickmayer,Yanina Wickmayer,https://scontent-lga3-1.cdninstagram.com/vp/a9b9f04b3ebdf5ecff5f9e4079742c16/5B643B8B/t51.2885-19/s150x150/15534878_1826130210962243_7259179111803781120_a.jpg,true,false,506425109,Yanina Wickmayer
99,▽3,SUI,28,658,19,Stefanie Voegele,9,stefanie_voegele,,https://scontent-sit4-1.cdninstagram.com/vp/f17e1275a70fc32e93cbf434ddc32bcd/5B6CCC7A/t51.2885-19/11906329_960233084022564_1448528159_a.jpg,false,false,1280280194,Stefanie Voegele
100,▽3,GER,30,656,12,Laura Siegemund,17583,laurasiegemund,Laura Siegemund,https://scontent-lga3-1.cdninstagram.com/vp/710ea1bd5356caaa51b93a4d727bc9a6/5B5BC63D/t51.2885-19/s150x150/13597788_1056683147751038_1282388536_a.jpg,false,false,2965882636,Laura Siegemund
101,▽2,RUS,23,649,23,Ekaterina Alexandrova,2566,k_.alexandrova,Ekaterina Alexandrova¸20¸Tmb🇱🇷,https://scontent-lga3-1.cdninstagram.com/vp/dae92ddcd69c498673b2fff2ae6acfbc/5B5629A5/t51.2885-19/s150x150/30084786_332852703905395_7305112021802942464_n.jpg,false,false,1486692689,Ekaterina Alexandrova
102,▽2,JPN,26,647,32,Kurumi Nara,132,kuruminara,Нара Куруми,https://scontent-lga3-1.cdninstagram.com/vp/94ec04e1925cc74effac9b3f0e425f6d/5B9A4276/t51.2885-19/s150x150/18298333_159413524592163_6299236247357358080_a.jpg,false,false,5426822045,Kurumi Nara
104,▽2,FRA,21,642,22,Oceane Dodin,213,oceanedodin,Oceaneeeee <3 :),https://scontent-lga3-1.cdninstagram.com/vp/33ea21a84cf4300c5f06423d16e7ac0d/5B6C9EA8/t51.2885-19/11349436_476790612490743_1824423851_a.jpg,false,false,224983032,Oceane Dodin
105,▽2,GER,30,638,25,Andrea Petkovic,85882,andreapetkovici,Andrea Petkovic,https://scontent-lga3-1.cdninstagram.com/vp/263c40bcf096f83a750500159e441f83/5B99DB38/t51.2885-19/s150x150/14723051_1109716299066233_2850070392737890304_a.jpg,true,false,421580,Andrea Petkovic
106,▽1,USA,25,619,16,Shelby Rogers,19651,shelbsrogers,Shelby Rogers,https://scontent-lga3-1.cdninstagram.com/vp/69743a9f885c4ec1cc733677ae1ec69c/5B5B8006/t51.2885-19/s150x150/19051808_562458480809633_7165856232740225024_a.jpg,true,false,246917122,Shelby Rogers
107,▽1,SVK,19,619,28,Viktoria Kuzmova,232,viktoriakuzmova,Viktoria Kuzmova,https://scontent-lga3-1.cdninstagram.com/vp/7ad83478d99cb1dd1fca633601c431ab/5B764A99/t51.2885-19/s150x150/21107746_471506619871780_4704221084524740608_a.jpg,false,false,5951892807,Viktoria Kuzmova
108,△1,CRO,21,603,28,Jana Fett,13730,janafett,Jana,https://scontent-lga3-1.cdninstagram.com/vp/a29f1d30ff0159a526c284717996e0b4/5B54A60D/t51.2885-19/s150x150/30078890_602377573443371_2374778741848014848_n.jpg,true,false,221594486,Jana Fett
109,▽5,CHN,28,596,25,Yingying Duan,8,yingyingduan,Yingying Duan,https://scontent-lga3-1.cdninstagram.com/vp/34299ee0c462a5da204ae997ac66c0c2/5B5B4C4F/t51.2885-19/s150x150/13556728_147518092322838_450757335_a.jpg,false,false,3479187614,Yingying Duan
110,0,NED,26,596,29,Richel Hogenkamp,4199,richelhogenkamp92,Richel Hogenkamp,https://scontent-lga3-1.cdninstagram.com/vp/1a741d733305ad3e3c58076a040e8ef0/5B5E047C/t51.2885-19/s150x150/25007919_163305507608240_6821790203703721984_n.jpg,false,true,1475287995,Richel Hogenkamp
111,0,BLR,19,592,25,Vera Lapko,4185,veralapko,Vera Lapko,https://scontent-lga3-1.cdninstagram.com/vp/c659da3243798e5d4bf4b1016989328e/5B69EFEB/t51.2885-19/s150x150/27880263_161701157822898_735064342537437184_n.jpg,false,false,267414097,Vera Lapko
113,▽1,SWE,22,585,22,Rebecca Peterson,1915,rebeccapeterson,REBECCA PETERSON,https://scontent-lga3-1.cdninstagram.com/vp/1b876c4b62a71da9314ec7ac6bd600c2/5B6C650E/t51.2885-19/s150x150/30601751_166890214137583_4061108328187559936_n.jpg,false,false,10877109,Rebecca Peterson
114,▽1,RUS,19,583,27,Anna Blinkova,562,anna.blinkova1998,Anna Blinkova,https://scontent-lga3-1.cdninstagram.com/vp/418ac39410517e11a8865714f9029cfd/5B793FCC/t51.2885-19/s150x150/28152747_151128328905035_6203188250199195648_n.jpg,false,false,6789249682,Anna Blinkova
115,0,SUI,25,575,24,Viktorija Golubic,3103,viktorija.golubic,Viktorija Golubic,https://scontent-lga3-1.cdninstagram.com/vp/19b7e6ed6478d3aa12a2fc1dbe6eaf3c/5B59BCB5/t51.2885-19/s150x150/15338437_1267367416670157_6966915198720409600_a.jpg,false,false,4185204308,Viktorija Golubic
116,0,SVK,24,566,32,Jana Cepelova,2893,cepi93,Jana Cepelova,https://scontent-lga3-1.cdninstagram.com/vp/1e4417a1a112ca4b421dc1fc6365670d/5B67BB14/t51.2885-19/10693689_1503741779872873_427683913_a.jpg,false,false,225586573,Jana Cepelova
117,0,CAN,24,565,19,Eugenie Bouchard,66367,eugenie_bouchard_,Genie Bouchard,https://scontent-lga3-1.cdninstagram.com/vp/f38c168399be98e4ea2d184c7d641657/5B795E06/t51.2885-19/11259078_435374879969182_1853230357_a.jpg,false,false,1434284346,Eugenie Bouchard
118,0,RUS,29,560,34,Evgeniya Rodina,783,jeka_jjjjj,Евгения Родина,https://scontent-lga3-1.cdninstagram.com/vp/5b395d867cc0d441c3e629d301b5442e/5B76E6C8/t51.2885-19/s150x150/28152794_1557775694331665_6240093877676539904_n.jpg,false,false,1544994336,Evgeniya Rodina
119,0,USA,25,559,25,Nicole Gibbs,45197,gibbsyyyy,Nicole Gibbs,https://scontent-lga3-1.cdninstagram.com/vp/4e634669e55d0599bafd042c4a35afbd/5B6AB9BD/t51.2885-19/s150x150/22639553_1922893324627391_987590939025342464_n.jpg,true,false,22684964,Nicole Gibbs
120,0,USA,19,550,24,Caroline Dolehide,6435,caroline_dolehide,Caroline Dolehide,https://scontent-lga3-1.cdninstagram.com/vp/e407b339e896845f82df8ce1635c95eb/5B9A6BC2/t51.2885-19/s150x150/28434388_1640062689403163_2458175448979341312_n.jpg,true,false,236214979,Caroline Dolehide
121,0,MNE,23,550,31,Danka Kovinic,8297,danka.kovinic,Kovinic Danka,https://scontent-lga3-1.cdninstagram.com/vp/668a431c88eef8d24d1d75463a4c86f3/5B77EBCF/t51.2885-19/s150x150/28154397_160329461440684_86764107520278528_n.jpg,false,false,236574946,Danka Kovinic
122,0,FRA,32,544,30,Pauline Parmentier,4990,paulineparmentier86,Pauline Parmentier,https://scontent-lga3-1.cdninstagram.com/vp/78a7c7527ff4363a05385057af130329/5B7B1E80/t51.2885-19/s150x150/28763601_349223172251409_55994893092257792_n.jpg,true,false,339481665,Pauline Parmentier
123,0,NED,27,542,27,Arantxa Rus,6767,arantxarus1,Arantxa Rus,https://scontent-lga3-1.cdninstagram.com/vp/ed3fc743afdee480c3b794dc1b2e38aa/5B6F4E5F/t51.2885-19/s150x150/25038229_2011842455725531_2011144476738715648_n.jpg,true,false,4094808252,Arantxa Rus
124,△15,CHN,24,536,13,Saisai Zheng,2000,zheng_saisai,Zheng Saisai,https://scontent-lga3-1.cdninstagram.com/vp/7c36b5379c9a1a5241fc48ea2c220cc9/5B99A8B6/t51.2885-19/s150x150/12930752_1022257637855433_891556933_a.jpg,true,false,505808935,Saisai Zheng
125,△4,CHN,24,530,22,Lin Zhu,4979,jurin_kumashiro,熊代珠琳,https://scontent-lga3-1.cdninstagram.com/vp/b681426ba0af168eaae119d4842d90fd/5B7B2B04/t51.2885-19/s150x150/29403891_277634466108222_1063725006782988288_n.jpg,true,false,3941734082,Lin Zhu
126,0,USA,24,511,23,Lauren Davis,28094,laurend1092,Lauren Davis,https://scontent-lga3-1.cdninstagram.com/vp/e9c12eb2f6716d85961ae68a7b949889/5B67A64B/t51.2885-19/s150x150/22710645_1481460398628552_243635790846885888_n.jpg,true,false,290324942,Lauren Davis
127,▽13,USA,25,509,26,Kristie Ahn,1728,kahn1,Kristie Ahn,https://scontent-lga3-1.cdninstagram.com/vp/1572a77803531823c9e5a8312ab0732b/5B6CA49A/t51.2885-19/s150x150/30855790_2136503266583197_2581230299278999552_n.jpg,true,false,17172697,Kristie Ahn
128,▽1,CAN,21,506,19,Francoise Abanda,26167,franckie_abanda,Françoise Abanda,https://scontent-lga3-1.cdninstagram.com/vp/3c489438b282260c68767080a9dc326a/5B68DD42/t51.2885-19/s150x150/30085907_167741654052648_2492456683935105024_n.jpg,true,false,253880821,Francoise Abanda
129,▽5,JPN,23,501,31,Nao Hibino,55,nao.hibino,Nao Hibino,https://scontent-lga3-1.cdninstagram.com/vp/565ba409755ca487d5c671f0df208720/5B6C4E70/t51.2885-19/s150x150/13743233_1649139845413185_1364537744_a.jpg,false,false,3552939081,Nao Hibino
130,0,SLO,27,498,31,Dalila Jakupovic,1462,dalilajakupovic,Dalila Jakupovic,https://scontent-lga3-1.cdninstagram.com/vp/64a67ba7bd84747a9b7e230c207fa33c/5B66AD4F/t51.2885-19/s150x150/16789690_423680617964709_9172023645541761024_a.jpg,false,false,1463305836,Dalila Jakupovic
131,0,AUS,28,493,31,Arina Rodionova,5968,arinarodio,Arina Rodionova (Vickery),https://scontent-lga3-1.cdninstagram.com/vp/f2f66912aa40664f8cd1096f58232890/5B5CDE23/t51.2885-19/s150x150/26366194_164106600897184_3318858651392802816_n.jpg,true,false,192400714,Arina Rodionova
132,0,ESP,21,485,26,Sara Sorribes Tormo,3090,sarasorribes,Sara Sorribes Tormo,https://scontent-lga3-1.cdninstagram.com/vp/a7ad846d20e9140f73a5eb97abe26b01/5B9D22B0/t51.2885-19/s150x150/14596662_953216431489697_7246200270391083008_a.jpg,true,false,3034197154,Sara Sorribes Tormo
133,0,BEL,23,475,27,Ysaline Bonaventure,113,ysalinebonaventure,,https://scontent-lga3-1.cdninstagram.com/vp/e9b84b5c4978e3314e9609f9ec0aa4b9/5B61123C/t51.2885-19/11849430_1653748904843750_1848224961_a.jpg,false,false,1090057655,Ysaline Bonaventure
134,0,GBR,28,474,30,Naomi Broady,24542,naomibroady,Naomi Broady,https://scontent-lga3-1.cdninstagram.com/vp/84118954d60ab9758e5feca5436417d1/5B5CC822/t51.2885-19/11261267_1638444959709379_1863937932_a.jpg,true,false,217754077,Naomi Broady
135,▽7,RUS,18,473,19,Sofya Zhuk,25856,sofya_zhuk,Sofya Zhuk,https://scontent-lga3-1.cdninstagram.com/vp/b6197d5a0aa9f89a3164a17463e147b0/5B6F92A5/t51.2885-19/s150x150/30078234_2180558898897698_2889681652043218944_n.jpg,true,false,245749241,Sofya Zhuk
137,▽2,SUI,20,452,28,Jil Teichmann,3165,jilteich,Jil Teichmann,https://scontent-lga3-1.cdninstagram.com/vp/5c5b1d32f645cbe7d34f9e542a3df72a/5B6ECA81/t51.2885-19/s150x150/12231016_1688600964689084_1008450188_a.jpg,true,false,29606710,Jil Teichmann
138,▽2,CAN,22,451,30,Carol Zhao,2597,carolzhao95,Carol Zhao,https://scontent-lga3-1.cdninstagram.com/vp/f8077838544b7777447dd27214b823cd/5B9B23FF/t51.2885-19/s150x150/29087535_220532728683683_4762515610481459200_n.jpg,false,false,525661807,Carol Zhao
139,▽2,JPN,23,448,25,Miyu Kato,6311,miyukato1121,Miyu Kato (加藤未唯),https://scontent-lga3-1.cdninstagram.com/vp/ee165e7080dd7a2e0e18dab3968b0a09/5B78156A/t51.2885-19/s150x150/29404255_181190506011437_3147051472697425920_n.jpg,false,false,336705177,Miyu Kato
140,0,POL,20,421,25,Magdalena Frech,1017,magdalenafrech,Magdalena Fręch,https://scontent-lga3-1.cdninstagram.com/vp/4d5786eecc79a689febe926519df06c0/5B9C6AE6/t51.2885-19/s150x150/14709457_1803887633157923_4229066494631215104_a.jpg,false,false,634857314,Magdalena Frech
141,0,CZE,22,414,19,Barbora Krejcikova,928,bkrejcikova,Barbora Krejcikova,https://scontent-lga3-1.cdninstagram.com/vp/07777405e17cf09cd7b650e34493b550/5B7ACE46/t51.2885-19/s150x150/29092943_364146867396437_2137797070818377728_n.jpg,true,false,1908077341,Barbora Krejcikova
142,0,GER,22,414,27,Tamara Korpatsch,142,tamikorpatsch,Tamara Korpatsch,https://scontent-lga3-1.cdninstagram.com/vp/f5f024d43e9ffc72063cfb664bc06ac0/5B6392CD/t51.2885-19/s150x150/27576358_1508001355987850_8293401837906690048_n.jpg,false,true,7035461563,Tamara Korpatsch
143,△1,RUS,33,412,17,Vera Zvonareva,7390,vera.zvonareva,Vera Zvonareva,https://scontent-lga3-1.cdninstagram.com/vp/d8747b6a6df68666a12bbb83a16dff57/5B9A8DAB/t51.2885-19/928030_720971701314862_405184749_a.jpg,false,false,302122140,Vera Zvonareva
144,△1,ITA,22,408,30,Jasmine Paolini,2261,jasmine_paolini,Jasmine Paolini,https://scontent-lga3-1.cdninstagram.com/vp/e7cb0a18d427e8b54f054a397d099196/5B67F779/t51.2885-19/s150x150/14488279_638635559647239_633580690604032000_a.jpg,false,false,5075101,Jasmine Paolini
145,△2,RUS,19,404,25,Anna Kalinskaya,12,annakalinskaya,,https://scontent-lga3-1.cdninstagram.com/vp/53ec6ffd63d2d29aa0a6fe7ba7377f39/5B77DA91/t51.2885-19/11372164_1620468578228672_1697361553_a.jpg,false,false,51629705,Anna Kalinskaya
146,0,ESP,25,401,20,Georgina Garcia Perez,5618,huracangeorgi,Georgina Garcia Perez,https://scontent-lga3-1.cdninstagram.com/vp/b915db6424040bd36c8f2ca6d5e87c4c/5B7B7CF3/t51.2885-19/s150x150/29738037_362336330937163_2771511927610802176_n.jpg,false,false,2021041956,Georgina Garcia Perez
147,△2,SUI,39,398,23,Patty Schnyder,9,pattyschnyder,Patty Schnyder,https://scontent-lga3-1.cdninstagram.com/vp/335af4b648daa3aa784416f6e994fae7/5B77FC1F/t51.2885-19/s150x150/30592536_607151639644051_4231680364482920448_n.jpg,false,false,7518911515,Patty Schnyder
148,△4,AUS,26,393,22,Olivia Rogowska,4452,oliviarogowska,olivia rogowska,https://scontent-lga3-1.cdninstagram.com/vp/37d2fec9ac08e5cf66dd3a3c2b7caeb5/5B5DF0CD/t51.2885-19/s150x150/20066660_133183693939691_45540530376933376_a.jpg,false,false,28859336,Olivia Rogowska
149,▽1,TUN,23,391,22,Ons Jabeur,90409,onsjabeur,Ons Jabeur,https://scontent-lga3-1.cdninstagram.com/vp/3cf79f47d7e07cf00af0c02748dff48e/5B59460D/t51.2885-19/s150x150/13297991_282409785432574_1176691201_a.jpg,true,false,530182444,Ons Jabeur
150,△23,CHN,27,391,28,Xinyun Han,50,xinyunhan,Xinyun Han,https://scontent-lga3-1.cdninstagram.com/vp/2fcb82112a8cb931ffcc569d7be6cc9f/5B68E0E8/t51.2885-19/11324894_892440000794357_891614742_a.jpg,false,false,2065767121,Xinyun Han
151,▽1,UKR,21,391,21,Anhelina Kalinina,214,kalinina_lina_,Ангелина Калинина,https://scontent-lga3-1.cdninstagram.com/vp/fdf13800512891b1cf6a9943b4f0e0c5/5B5629CB/t51.2885-19/s150x150/16908911_409397112740519_8991956926908596224_a.jpg,false,false,2073716551,Anhelina Kalinina
152,△1,CRO,36,390,16,Mirjana Lucic-Baroni,270,mirjanalucicbaroni,Mirjana Lucic Baroni,https://scontent-lga3-1.cdninstagram.com/vp/42a5e3a16d8ad72aa7a37918b7337e02/5B66AE30/t51.2885-19/s150x150/16110404_238756129910211_8073397764576247808_a.jpg,false,false,4515062772,Mirjana Lucic-Baroni
153,△1,BEL,24,390,25,Maryna Zanevska,11508,marinazanevska,Maryna Zanevska✨,https://scontent-lga3-1.cdninstagram.com/vp/659cfe4da8c67b6d322fa25435c49c97/5B666478/t51.2885-19/s150x150/30605007_1517606571699707_6241206317155876864_n.jpg,true,false,294027398,Maryna Zanevska
154,▽16,USA,16,388,13,Amanda Anisimova,19692,amandaanisimova,Amanda,https://scontent-lga3-1.cdninstagram.com/vp/c986a96a5e08c9842e6f0cf7946f30a2/5B673DE1/t51.2885-19/s150x150/30603126_174419503371915_6948519389935173632_n.jpg,true,false,974184665,Amanda Anisimova
155,0,GER,21,388,22,Antonia Lottner,3810,antonialottner,An Tonia,https://scontent-lga3-1.cdninstagram.com/vp/c3d0301a6c41068d4a7a228224dcf984/5B9D6575/t51.2885-19/s150x150/20905540_1679190782122648_2956094731341266944_a.jpg,true,false,516263883,Antonia Lottner
156,▽5,ROU,23,386,30,Irina Bara,1106,irina.bara,Irina Bara,https://scontent-lga3-1.cdninstagram.com/vp/412fc0570a329c722fbd65918c6eafbe/5B5FB26D/t51.2885-19/s150x150/22351962_1820629761560368_7486044515648667648_n.jpg,false,false,6210028666,Irina Bara
157,△2,AUS,20,383,32,Lizette Cabrera,2952,lizettecabrera,Lizette Cabrera,https://scontent-lga3-1.cdninstagram.com/vp/d903fdc0a3f00e7da38e858ccc4e0308/5B5F466F/t51.2885-19/s150x150/30080004_185585645573287_7770968694695395328_n.jpg,true,false,32650012,Lizette Cabrera
158,▽2,UKR,15,381,9,Marta Kostyuk,39473,kostyukmarta,Marta Kostyuk / Марта Костюк,https://scontent-lga3-1.cdninstagram.com/vp/d02ae8f13ae16750d56314c20642083d/5B64C446/t51.2885-19/s150x150/27878711_187423378688148_6698910983206731776_n.jpg,true,false,1356145410,Marta Kostyuk
159,▽2,ITA,37,381,15,Francesca Schiavone,2772,francescaschiavone_,Francesca Schiavone,https://scontent-lga3-1.cdninstagram.com/vp/f6e1353f1f68fd3c5cb9bd07bd67daa5/5B64EACD/t51.2885-19/s150x150/22581876_898503153631182_7915518318713241600_n.jpg,false,false,181821178,Francesca Schiavone
160,▽2,CZE,23,375,29,Tereza Martincova,4057,holka_modrookaa,Tereza Martincová,https://scontent-lga3-1.cdninstagram.com/vp/18fc4247ec4f1faf1c0e052b3ac0183b/5B624B6E/t51.2885-19/s150x150/21879349_134919420578074_8082637192712683520_n.jpg,false,false,856105782,Tereza Martincova
161,▽1,GER,28,372,11,Sabine Lisicki,137622,sabinelisicki,Sabine Lisicki,https://scontent-lga3-1.cdninstagram.com/vp/b989ee674d8e53b6d74134de3463a22b/5B6BAABB/t51.2885-19/s150x150/15624944_1595250080501526_715042527853412352_a.jpg,true,false,19743695,Sabine Lisicki
162,▽1,UKR,17,371,17,Dayana Yastremska,10622,dayana_yastremskay,Dayana Yastremska,https://scontent-lga3-1.cdninstagram.com/vp/18c51cb6420eafaca916861f67a98c16/5B699246/t51.2885-19/s150x150/23594895_1363848850379463_6470943598127874048_n.jpg,false,false,1124651909,Dayana Yastremska
163,0,USA,23,370,26,Jamie Loeb,2721,jloeb308,Jamie Loeb,https://scontent-lga3-1.cdninstagram.com/vp/43df045cbd37171f2a0ff170db011a52/5B5B25AA/t51.2885-19/s150x150/12797775_1055046041225866_410403944_a.jpg,true,false,218442061,Jamie Loeb
164,▽2,TUR,28,369,26,Cagla Buyukakcay,99259,caglabuyukakcay,Çağla Büyükakçay,https://scontent-lga3-1.cdninstagram.com/vp/23811e2717273c177f130f3bb0b16199/5B563992/t51.2885-19/s150x150/22711007_536949516645449_8028808492145967104_n.jpg,false,false,4748119,Cagla Buyukakcay
165,▽1,BUL,23,367,27,Viktoriya Tomova,729,viktoriyatomova,Viktoriya Tomova,https://scontent-lga3-1.cdninstagram.com/vp/4aa8a08d77041aee716a3502109739de/5B9D733D/t51.2885-19/s150x150/28751953_175093739785958_6490471019126456320_n.jpg,true,false,6323393867,Viktoriya Tomova
166,▽1,JPN,26,365,23,Misaki Doi,161,misaki.09.13,m i s a k i   d o i   (24),https://scontent-lga3-1.cdninstagram.com/vp/afceaff9bca03255d29a791eb6c4101a/5B7A833E/t51.2885-19/s150x150/22220808_127822231273773_7500898123170971648_n.jpg,false,false,1452074153,Misaki Doi
